Season,SB,Team,Running Back,Running Back Rank,Rushing Yards,Attempts,Touchdowns,Yards Per Attempt
2004-2005,XXXIX (39),New England Patriots,Corey Dillon,3,1635,345,12,4.74
2000-2001,XXXV (35),Baltimore Ravens,Jamal Lewis,7,1364,309,6,4.41
2013-2014,XLVIII (48),Seattle Seahawks,Marshawn Lynch,6,1257,301,12,4.18
2005-2006,XL (40),Pittsburgh Steelers,Willie Parker,12,1202,255,4,4.71
2016-2017,LI (51),New England Patriots,Legarette Blount,8,1161,299,18,3.88
2001-2002,XXXVI (36),New England Patriots,Antowain Smith,12,1157,287,12,4.03
2012-2013,XLVII (47),Baltimore Ravens,Ray Rice,11,1143,257,9,4.45
2007-2008,XLII (42),New York Giants,Brandon Jacobs,16,1009,202,4,5
2020-2021,LV (55),Tampa Bay Buccaneers,Ronald Jones ,12,978,192,7,5.09
2018-2019,LIII (53),New England Patriots,Sony Michel,15,931,209,6,4.45
2022-2023,LVII (57),Kansas City Chiefs,Isiah Pacheco,25,830,170,5,4.88
2008-2009,XLIII (43),Pittsburgh Steelers,Willie Parker,26,791,210,5,3.77
2017-2018,LII (52),Philadelphia Eagles,Legarette Blount,22,766,173,2,4.43
2015-2016,L (50),Denver Broncos,CJ Anderson,24,720,152,5,4.74
2002-2003,XXXVII (37),Tampa Bay Buccaneers,Michael Pittman,32,718,204,1,3.52
2010-2011,XLV (45),Green Bay Packers,Brandon Jackson,33,703,190,3,3.7
2021-2022,LVI (56),Los Angeles Rams,Darrell Henderson,30,688,149,5,4.62
2011-2012,XLVI (46),New York Giants,Ahmad Bradshaw,29,659,171,9,3.85
2006-2007,XLI (41),Indianapolis Colts,Dominic Rhodes,38,641,187,5,3.43
2003-2004,XXXVIII (38),New England Patriots,Kevin Faulk,31,638,178,0,3.58
2019-2020,LIV (54),Kansas City Chiefs,Lesean McCoy,42,465,101,4,4.6
2014-2015,XLIX (49),New England Patriots,Shane Vereen,51,391,96,2,4.07
2009-2010,XLIV (44),New Orleans Saints,Reggie Bush,49,390,70,5,5.57
